Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
OP712005.1	human papillomavirus 31	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R488_HPV31	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7878	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 31 isolate V521R488_HPV31, complete genome	HPV_31	Global	2017-08-15	OP712005_1|Global|HPV_31|V521R488_HPV31|2017-08-15
OP712006.1	human papillomavirus 42	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R488_HPV42	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 42 isolate V521R488_HPV42, complete genome	HPV_42	Global	2017-08-15	OP712006_1|Global|HPV_42|V521R488_HPV42|2017-08-15
OP712007.1	human papillomavirus 59	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R488_HPV59	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7898	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 59 isolate V521R488_HPV59, complete genome	HPV_59	Global	2017-08-15	OP712007_1|Global|HPV_59|V521R488_HPV59|2017-08-15
OP712008.1	human papillomavirus 18	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R489_HPV18	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7772	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 18 isolate V521R489_HPV18, partial genome	HPV_18	Global	2017-08-15	OP712008_1|Global|HPV_18|V521R489_HPV18|2017-08-15
OP712009.1	Human papillomavirus type 34	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R489_HPV34	Alphapapillomavirus 11	Alphapapillomavirus	Papillomaviridae	dsDNA	7718	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 34 isolate V521R489_HPV34, complete genome	HPV_34	Global	2017-08-15	OP712009_1|Global|HPV_34|V521R489_HPV34|2017-08-15
OP712010.1	human papillomavirus 73	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R489_HPV73	Alphapapillomavirus 11	Alphapapillomavirus	Papillomaviridae	dsDNA	7697	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 73 isolate V521R489_HPV73, complete genome	HPV_73	Global	2017-08-15	OP712010_1|Global|HPV_73|V521R489_HPV73|2017-08-15
OP712011.1	human papillomavirus 18	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R490_HPV18	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7831	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 18 isolate V521R490_HPV18, complete genome	HPV_18	Global	2017-08-15	OP712011_1|Global|HPV_18|V521R490_HPV18|2017-08-15
OP712012.1	Human papillomavirus type 6	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R490_HPV6	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7991	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 6 isolate V521R490_HPV6, partial genome	HPV_6	Global	2017-08-15	OP712012_1|Global|HPV_6|V521R490_HPV6|2017-08-15
OP712013.1	human papillomavirus 62	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R491_HPV62	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8092	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 62 isolate V521R491_HPV62, complete genome	HPV_62	Global	2017-08-15	OP712013_1|Global|HPV_62|V521R491_HPV62|2017-08-15
OP712014.1	human papillomavirus 68	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R491_HPV68	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7802	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 68 isolate V521R491_HPV68, partial genome	HPV_68	Global	2017-08-15	OP712014_1|Global|HPV_68|V521R491_HPV68|2017-08-15
OP712015.1	Human papillomavirus 16	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R493_HPV16	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7906	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 16 isolate V521R493_HPV16, partial genome	HPV_16	Global	2017-08-15	OP712015_1|Global|HPV_16|V521R493_HPV16|2017-08-15
OP712016.1	human papillomavirus 56	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R493_HPV56	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7832	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 56 isolate V521R493_HPV56, complete genome	HPV_56	Global	2017-08-15	OP712016_1|Global|HPV_56|V521R493_HPV56|2017-08-15
OP712017.1	human papillomavirus 101	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R494_HPV101	Gammapapillomavirus 6	Gammapapillomavirus	Papillomaviridae	dsDNA	7258	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 101 isolate V521R494_HPV101, complete genome	HPV_101	Global	2017-08-15	OP712017_1|Global|HPV_101|V521R494_HPV101|2017-08-15
OP712018.1	human papillomavirus 52	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R494_HPV52	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7936	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 52 isolate V521R494_HPV52, complete genome	HPV_52	Global	2017-08-15	OP712018_1|Global|HPV_52|V521R494_HPV52|2017-08-15
OP712019.1	Human papillomavirus type 53	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R494_HPV53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7859	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 53 isolate V521R494_HPV53, partial genome	HPV_53	Global	2017-08-15	OP712019_1|Global|HPV_53|V521R494_HPV53|2017-08-15
OP712020.1	human papillomavirus 83	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R494_HPV83	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8070	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 83 isolate V521R494_HPV83, complete genome	HPV_83	Global	2017-08-15	OP712020_1|Global|HPV_83|V521R494_HPV83|2017-08-15
OP712021.1	Human papillomavirus 16	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R495_HPV16	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7904	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 16 isolate V521R495_HPV16, complete genome	HPV_16	Global	2017-08-15	OP712021_1|Global|HPV_16|V521R495_HPV16|2017-08-15
OP712022.1	human papillomavirus 67	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R495_HPV67	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7806	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 67 isolate V521R495_HPV67, partial genome	HPV_67	Global	2017-08-15	OP712022_1|Global|HPV_67|V521R495_HPV67|2017-08-15
OP712023.1	Human papillomavirus type 70	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R495_HPV70	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7922	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 70 isolate V521R495_HPV70, partial genome	HPV_70	Global	2017-08-15	OP712023_1|Global|HPV_70|V521R495_HPV70|2017-08-15
OP712024.1	human papillomavirus 81	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R495_HPV81	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8070	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 81 isolate V521R495_HPV81, complete genome	HPV_81	Global	2017-08-15	OP712024_1|Global|HPV_81|V521R495_HPV81|2017-08-15
OP712025.1	human papillomavirus 35	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R497_HPV35	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7879	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 35 isolate V521R497_HPV35, complete genome	HPV_35	Global	2017-08-15	OP712025_1|Global|HPV_35|V521R497_HPV35|2017-08-15
OP712026.1	human papillomavirus 51	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R498_HPV51	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7814	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 51 isolate V521R498_HPV51, complete genome	HPV_51	Global	2017-08-15	OP712026_1|Global|HPV_51|V521R498_HPV51|2017-08-15
OP712027.1	human papillomavirus 42	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R500_HPV42	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 42 isolate V521R500_HPV42, partial genome	HPV_42	Global	2017-08-15	OP712027_1|Global|HPV_42|V521R500_HPV42|2017-08-15
OP712028.1	human papillomavirus 59	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R500_HPV59	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7898	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 59 isolate V521R500_HPV59, complete genome	HPV_59	Global	2017-08-15	OP712028_1|Global|HPV_59|V521R500_HPV59|2017-08-15
OP712029.1	human papillomavirus 18	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V521R502_HPV18	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7823	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 18 isolate V521R502_HPV18, complete genome	HPV_18	Global	2017-08-15	OP712029_1|Global|HPV_18|V521R502_HPV18|2017-08-15
OP712030.1	human papillomavirus 73	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E01_HPV73	Alphapapillomavirus 11	Alphapapillomavirus	Papillomaviridae	dsDNA	7652	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 73 isolate V523E01_HPV73, complete genome	HPV_73	Global	2017-08-15	OP712030_1|Global|HPV_73|V523E01_HPV73|2017-08-15
OP712031.1	human papillomavirus 33	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV33	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7908	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 33 isolate V523E03_HPV33, partial genome	HPV_33	Global	2017-08-15	OP712031_1|Global|HPV_33|V523E03_HPV33|2017-08-15
OP712032.1	human papillomavirus 43	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV43	Alphapapillomavirus 8	Alphapapillomavirus	Papillomaviridae	dsDNA	7967	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 43 isolate V523E03_HPV43, complete genome	HPV_43	Global	2017-08-15	OP712032_1|Global|HPV_43|V523E03_HPV43|2017-08-15
OP712033.1	Human papillomavirus type 53	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7859	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 53 isolate V523E03_HPV53, complete genome	HPV_53	Global	2017-08-15	OP712033_1|Global|HPV_53|V523E03_HPV53|2017-08-15
OP712034.1	Human papillomavirus type 54	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV54	Alphapapillomavirus 13	Alphapapillomavirus	Papillomaviridae	dsDNA	7760	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 54 isolate V523E03_HPV54, complete genome	HPV_54	Global	2017-08-15	OP712034_1|Global|HPV_54|V523E03_HPV54|2017-08-15
OP712035.1	human papillomavirus 56	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV56	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7839	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 56 isolate V523E03_HPV56, complete genome	HPV_56	Global	2017-08-15	OP712035_1|Global|HPV_56|V523E03_HPV56|2017-08-15
OP712036.1	human papillomavirus 58	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV58	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7823	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 58 isolate V523E03_HPV58, complete genome	HPV_58	Global	2017-08-15	OP712036_1|Global|HPV_58|V523E03_HPV58|2017-08-15
OP712037.1	human papillomavirus 74	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E03_HPV74	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7878	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 74 isolate V523E03_HPV74, complete genome	HPV_74	Global	2017-08-15	OP712037_1|Global|HPV_74|V523E03_HPV74|2017-08-15
OP712038.1	Human papillomavirus type 34	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E05_HPV34	Alphapapillomavirus 11	Alphapapillomavirus	Papillomaviridae	dsDNA	7722	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 34 isolate V523E05_HPV34, partial genome	HPV_34	Global	2017-08-15	OP712038_1|Global|HPV_34|V523E05_HPV34|2017-08-15
OP712039.1	human papillomavirus 45	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E05_HPV45	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7853	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 45 isolate V523E05_HPV45, complete genome	HPV_45	Global	2017-08-15	OP712039_1|Global|HPV_45|V523E05_HPV45|2017-08-15
OP712040.1	human papillomavirus 51	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E05_HPV51	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7814	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 51 isolate V523E05_HPV51, complete genome	HPV_51	Global	2017-08-15	OP712040_1|Global|HPV_51|V523E05_HPV51|2017-08-15
OP712041.1	Human papillomavirus 16	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV16	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7903	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 16 isolate V523E06_HPV16, complete genome	HPV_16	Global	2017-08-15	OP712041_1|Global|HPV_16|V523E06_HPV16|2017-08-15
OP712042.1	human papillomavirus 32	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV32	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7960	partial	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus type 32 isolate V523E06_HPV32, partial genome	HPV_32	Global	2017-08-15	OP712042_1|Global|HPV_32|V523E06_HPV32|2017-08-15
OP712043.1	human papillomavirus 33	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV33	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7909	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 33 isolate V523E06_HPV33, complete genome	HPV_33	Global	2017-08-15	OP712043_1|Global|HPV_33|V523E06_HPV33|2017-08-15
OP712044.1	human papillomavirus 42	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV42	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 42 isolate V523E06_HPV42, complete genome	HPV_42	Global	2017-08-15	OP712044_1|Global|HPV_42|V523E06_HPV42|2017-08-15
OP712045.1	human papillomavirus 43	GenBank			Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.	Universite Paris Cite, Inserm UMR1137	France	2023-11-24	V523E06_HPV43	Alphapapillomavirus 8	Alphapapillomavirus	Papillomaviridae	dsDNA	7968	complete	NA	NA	Togo	Togo	Homo sapiens		2017-08			Human papillomavirus 43 isolate V523E06_HPV43, complete genome	HPV_43	Global	2017-08-15	OP712045_1|Global|HPV_43|V523E06_HPV43|2017-08-15
